Metadata1
Metadata2
Metadata3, Author: Michael Erb
Metadata4
Age (yr BP),SCC mean (degrees Celsius),SCC percentile 2.5 (degrees Celsius),SCC percentile 97.5 (degrees Celsius),DCC mean (degrees Celsius),DCC percentile 2.5 (degrees Celsius),DCC percentile 97.5 (degrees Celsius),CPS mean (degrees Celsius),CPS percentile 2.5 (degrees Celsius),CPS percentile 97.5 (degrees Celsius),PAI mean (degrees Celsius),PAI percentile 2.5 (degrees Celsius),PAI percentile 97.5 (degrees Celsius),GAM mean (degrees Celsius),GAM percentile 2.5 (degrees Celsius),GAM percentile 97.5 (degrees Celsius)
3900.00,0.33,-0.02,0.69,0.38,0.17,0.61,1.36,0.56,2.67,0.53,0.19,1.13,0.14,-0.25,0.53
4000.00,0.34,0.01,0.68,0.37,0.14,0.61,1.35,0.52,2.77,0.52,0.16,1.11,0.18,-0.20,0.59
4100.00,0.35,0.01,0.72,0.37,0.14,0.60,1.32,0.48,2.66,0.52,0.16,1.10,0.21,-0.16,0.57
4200.00,0.33,-0.05,0.66,0.38,0.16,0.61,1.33,0.41,2.53,0.51,0.17,1.06,0.23,-0.13,0.60
4300.00,0.33,0.00,0.69,0.39,0.17,0.59,1.36,0.50,2.47,0.51,0.17,1.06,0.26,-0.12,0.68
4400.00,0.36,0.00,0.70,0.41,0.18,0.61,1.46,0.59,2.69,0.51,0.19,1.06,0.27,-0.13,0.62
4500.00,0.37,0.04,0.74,0.43,0.21,0.67,1.52,0.59,2.76,0.56,0.20,1.15,0.27,-0.09,0.68
4600.00,0.39,0.01,0.76,0.46,0.23,0.70,1.62,0.63,3.18,0.59,0.22,1.26,0.30,-0.06,0.67
4700.00,0.40,0.07,0.79,0.49,0.26,0.71,1.75,0.73,3.17,0.61,0.23,1.25,0.30,-0.09,0.69
4800.00,0.41,0.10,0.76,0.50,0.25,0.73,1.81,0.88,3.52,0.65,0.26,1.37,0.30,-0.12,0.68
4900.00,0.41,0.07,0.80,0.51,0.28,0.75,1.86,0.85,3.48,0.67,0.28,1.37,0.30,-0.08,0.67
5000.00,0.41,0.01,0.81,0.52,0.28,0.75,1.88,0.89,3.49,0.67,0.28,1.40,0.32,-0.08,0.72
5100.00,0.45,0.03,0.85,0.53,0.31,0.74,1.91,0.93,3.54,0.67,0.28,1.36,0.31,-0.10,0.70
5200.00,0.43,0.00,0.88,0.54,0.32,0.76,1.98,0.99,3.68,0.70,0.28,1.47,0.31,-0.10,0.69
5300.00,0.46,-0.00,0.90,0.55,0.32,0.77,1.98,0.97,3.70,0.74,0.31,1.53,0.31,-0.09,0.71
5400.00,0.45,0.03,0.89,0.56,0.34,0.80,2.04,0.98,3.73,0.75,0.33,1.55,0.31,-0.08,0.71
5500.00,0.48,0.07,0.87,0.57,0.34,0.81,2.04,0.95,3.59,0.77,0.32,1.61,0.32,-0.04,0.73
5600.00,0.48,0.07,0.89,0.59,0.37,0.81,2.13,1.00,3.73,0.76,0.34,1.60,0.31,-0.10,0.71
5700.00,0.48,0.08,0.88,0.61,0.38,0.85,2.26,1.07,3.93,0.81,0.35,1.68,0.35,-0.05,0.74
5800.00,0.51,0.08,0.89,0.62,0.40,0.88,2.34,1.12,4.48,0.85,0.41,1.71,0.41,0.02,0.76
5900.00,0.51,0.12,0.95,0.65,0.41,0.88,2.43,1.14,4.53,0.85,0.40,1.72,0.41,0.02,0.82
6000.00,0.55,0.13,0.98,0.66,0.42,0.88,2.45,1.17,4.34,0.89,0.41,1.70,0.51,0.13,0.88
6100.00,0.55,0.16,0.97,0.67,0.43,0.90,2.49,1.27,4.34,0.89,0.41,1.77,0.54,0.14,0.95
6200.00,0.57,0.15,1.02,0.69,0.44,0.93,2.55,1.27,4.37,0.90,0.39,1.83,0.57,0.20,0.98
6300.00,0.57,0.17,1.00,0.71,0.46,0.96,2.66,1.30,4.69,0.91,0.41,1.82,0.60,0.20,1.00
6400.00,0.60,0.17,1.07,0.71,0.45,0.94,2.67,1.33,4.64,0.95,0.40,1.93,0.60,0.20,0.97
6500.00,0.58,0.16,1.02,0.69,0.47,0.92,2.66,1.33,4.49,0.96,0.40,1.95,0.58,0.16,0.94
6600.00,0.61,0.19,1.03,0.70,0.46,0.94,2.66,1.30,4.75,0.95,0.40,1.89,0.56,0.19,0.96
6700.00,0.62,0.15,1.06,0.71,0.45,0.96,2.67,1.35,4.80,0.96,0.40,1.93,0.53,0.15,0.91
6800.00,0.62,0.18,1.06,0.70,0.43,0.98,2.66,1.32,4.52,0.98,0.41,1.93,0.50,0.09,0.91
6900.00,0.60,0.16,1.03,0.71,0.46,0.96,2.60,1.31,4.57,0.98,0.42,1.90,0.47,0.10,0.86
7000.00,0.62,0.14,1.05,0.69,0.44,0.94,2.53,1.28,4.38,0.97,0.42,1.90,0.44,0.03,0.85
7100.00,0.60,0.15,1.07,0.68,0.46,0.92,2.55,1.26,4.30,0.95,0.41,1.81,0.44,0.06,0.82
7200.00,0.60,0.13,1.08,0.68,0.45,0.93,2.55,1.35,4.48,0.93,0.41,1.83,0.41,-0.00,0.80
7300.00,0.59,0.10,1.09,0.66,0.42,0.91,2.52,1.31,4.37,0.92,0.42,1.76,0.31,-0.12,0.75
7400.00,0.59,0.11,1.02,0.65,0.41,0.91,2.49,1.28,4.30,0.93,0.40,1.85,0.29,-0.14,0.70
7500.00,0.55,0.08,1.03,0.62,0.37,0.86,2.38,1.16,4.26,0.94,0.41,1.88,0.22,-0.21,0.64
7600.00,0.57,0.10,1.05,0.61,0.32,0.87,2.31,1.18,4.39,0.92,0.41,1.83,0.23,-0.18,0.63
7700.00,0.55,0.03,1.00,0.57,0.32,0.84,2.24,1.00,4.35,0.88,0.40,1.75,0.22,-0.17,0.66
7800.00,0.53,0.06,1.05,0.54,0.28,0.78,2.13,0.96,4.05,0.86,0.39,1.74,0.27,-0.15,0.68
7900.00,0.49,0.02,0.99,0.52,0.25,0.77,2.08,0.84,3.98,0.82,0.36,1.63,0.31,-0.14,0.75
8000.00,0.49,0.02,0.98,0.49,0.24,0.74,2.00,0.75,3.78,0.79,0.34,1.63,0.29,-0.15,0.69
8100.00,0.45,-0.04,0.98,0.44,0.20,0.70,1.86,0.66,3.63,0.74,0.32,1.49,0.37,-0.11,0.81
8200.00,0.43,-0.04,0.94,0.42,0.16,0.68,1.76,0.60,3.45,0.70,0.28,1.42,0.39,-0.02,0.82
8300.00,0.40,-0.08,0.89,0.37,0.10,0.63,1.59,0.54,3.23,0.66,0.25,1.44,0.35,-0.10,0.77
8400.00,0.39,-0.18,0.92,0.34,0.10,0.58,1.50,0.39,3.02,0.60,0.20,1.26,0.32,-0.06,0.74
8500.00,0.38,-0.14,0.93,0.30,0.03,0.57,1.39,0.33,3.08,0.57,0.19,1.24,0.27,-0.19,0.70
8600.00,0.35,-0.14,0.91,0.27,0.00,0.55,1.28,0.22,2.99,0.53,0.16,1.16,0.23,-0.18,0.67
8700.00,0.32,-0.25,0.85,0.23,-0.05,0.47,1.13,0.04,2.54,0.48,0.09,1.15,0.06,-0.37,0.54
8800.00,0.31,-0.22,0.81,0.19,-0.08,0.45,0.99,-0.11,2.30,0.45,0.07,1.07,0.04,-0.35,0.47
8900.00,0.27,-0.25,0.79,0.15,-0.12,0.40,0.86,-0.22,2.12,0.40,0.01,1.05,-0.01,-0.43,0.41
9000.00,0.26,-0.27,0.82,0.12,-0.14,0.40,0.82,-0.33,2.10,0.35,-0.04,0.94,-0.03,-0.43,0.41
9100.00,0.23,-0.31,0.75,0.10,-0.17,0.39,0.73,-0.57,2.08,0.32,-0.09,0.88,-0.05,-0.50,0.35
9200.00,0.23,-0.26,0.82,0.08,-0.20,0.39,0.67,-0.68,1.91,0.29,-0.09,0.79,-0.05,-0.47,0.34
9300.00,0.25,-0.34,0.84,0.04,-0.25,0.35,0.55,-0.69,1.84,0.26,-0.16,0.78,-0.07,-0.49,0.35
9400.00,0.20,-0.43,0.76,0.02,-0.28,0.29,0.44,-0.83,1.83,0.23,-0.23,0.75,-0.04,-0.50,0.37
9500.00,0.21,-0.38,0.78,-0.02,-0.29,0.24,0.36,-0.92,1.67,0.20,-0.28,0.67,-0.04,-0.47,0.41
9600.00,0.21,-0.42,0.77,-0.05,-0.35,0.24,0.33,-1.12,1.51,0.16,-0.29,0.59,-0.04,-0.50,0.38
9700.00,0.16,-0.44,0.81,-0.10,-0.37,0.18,0.17,-1.31,1.36,0.12,-0.43,0.59,-0.05,-0.50,0.39
9800.00,0.16,-0.52,0.75,-0.14,-0.44,0.15,0.01,-1.54,1.17,0.04,-0.54,0.50,-0.09,-0.54,0.35
9900.00,0.13,-0.46,0.79,-0.18,-0.47,0.12,-0.25,-1.66,1.10,-0.02,-0.59,0.39,-0.13,-0.55,0.31
10000.00,0.10,-0.52,0.75,-0.24,-0.54,0.06,-0.56,-2.15,0.78,-0.09,-0.67,0.33,-0.18,-0.62,0.28
10100.00,0.02,-0.64,0.63,-0.31,-0.61,0.00,-0.87,-2.64,0.53,-0.19,-0.85,0.19,-0.27,-0.67,0.17
10200.00,0.01,-0.62,0.71,-0.38,-0.68,-0.08,-1.10,-2.89,0.20,-0.27,-1.08,0.14,-0.31,-0.80,0.14
10300.00,-0.07,-0.83,0.64,-0.43,-0.78,-0.10,-1.27,-3.31,0.11,-0.35,-1.09,0.08,-0.42,-0.83,-0.00
10400.00,-0.10,-0.82,0.56,-0.49,-0.87,-0.17,-1.60,-3.69,-0.06,-0.41,-1.20,0.06,-0.44,-0.84,0.02
10500.00,-0.22,-0.99,0.55,-0.53,-0.89,-0.19,-1.85,-4.02,-0.30,-0.51,-1.42,0.01,-0.53,-0.98,-0.09
10600.00,-0.25,-1.05,0.43,-0.60,-0.97,-0.23,-2.16,-4.51,-0.56,-0.61,-1.52,-0.05,-0.59,-1.07,-0.14
10700.00,-0.35,-1.16,0.47,-0.65,-1.03,-0.26,-2.45,-5.40,-0.64,-0.73,-1.78,-0.11,-0.68,-1.14,-0.20
10800.00,-0.40,-1.22,0.45,-0.71,-1.15,-0.26,-2.70,-6.20,-0.83,-0.84,-2.00,-0.16,-0.85,-1.33,-0.40
10900.00,-0.50,-1.37,0.35,-0.76,-1.19,-0.31,-3.04,-6.77,-0.83,-0.94,-2.09,-0.15,-0.95,-1.42,-0.49
11000.00,-0.59,-1.40,0.24,-0.83,-1.25,-0.38,-3.46,-7.14,-1.11,-1.04,-2.35,-0.23,-1.10,-1.61,-0.63
11100.00,-0.73,-1.63,0.11,-0.92,-1.38,-0.46,-3.92,-7.90,-1.44,-1.16,-2.64,-0.26,-1.27,-1.76,-0.81
11200.00,-0.83,-1.74,0.10,-1.01,-1.49,-0.57,-4.36,-8.50,-1.70,-1.27,-2.72,-0.32,-1.55,-2.06,-1.06
11300.00,-0.94,-1.93,0.12,-1.14,-1.62,-0.71,-4.95,-9.38,-2.06,-1.38,-3.00,-0.37,-1.28,-1.82,-0.79
11400.00,-1.11,-2.15,-0.10,-1.29,-1.80,-0.77,-5.61,-10.02,-2.43,-1.54,-3.43,-0.38,-1.28,-1.82,-0.75
11500.00,-1.23,-2.25,-0.21,-1.43,-1.98,-0.90,-6.32,-11.10,-3.06,-1.69,-3.84,-0.47,-1.59,-2.16,-1.03
11600.00,-1.39,-2.55,-0.42,-1.61,-2.13,-1.08,-7.21,-12.98,-3.67,-1.86,-3.99,-0.57,-1.85,-2.47,-1.29
11700.00,-1.50,-2.64,-0.34,-1.87,-2.45,-1.32,-8.20,-14.98,-4.11,-2.11,-4.47,-0.70,-2.11,-2.73,-1.48
11800.00,-1.65,-2.89,-0.49,-2.06,-2.66,-1.45,-9.01,-16.13,-4.56,-2.32,-5.02,-0.79,-2.37,-2.98,-1.75
11900.00,-1.75,-2.93,-0.54,-2.24,-2.81,-1.60,-9.83,-17.10,-4.92,-2.57,-5.30,-0.85,nan,nan,nan
12000.00,-1.88,-3.10,-0.71,-2.34,-2.94,-1.76,-10.42,-18.89,-5.16,-2.78,-5.75,-0.94,nan,nan,nan
